epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.901,3.60602,7.52079,1.65454,0.00015,0.00943,0.00262,0.00158,2.76977,5.92182,1.19396,0.000299165,0.000299165,0.000299165
2,75.0466,2.88089,5.05718,1.20458,0.18007,0.15973,0.109,0.04238,2.51037,4.23387,1.09238,0.000562422,0.000562422,0.000562422
3,137.102,2.62329,3.92549,1.10717,0.31066,0.29984,0.27427,0.12295,2.3161,3.35447,1.04252,0.000785683,0.000785683,0.000785683
4,201.717,2.53499,3.51,1.07879,0.4616,0.41693,0.3804,0.15901,2.26153,2.88127,1.01396,0.000729018,0.000729018,0.000729018
5,268.549,2.3431,2.99025,1.0556,0.63323,0.42654,0.48756,0.21945,2.12085,2.59846,0.9907,0.000669024,0.000669024,0.000669024
6,432.228,2.20853,2.79583,1.06732,0.62738,0.50671,0.53823,0.25173,2.04911,2.37405,0.98177,0.00060903,0.00060903,0.00060903
7,550.933,2.10725,2.58275,1.02889,0.65729,0.52349,0.53172,0.23158,2.05574,2.225,0.96897,0.000549036,0.000549036,0.000549036
8,675.238,2.06408,2.36949,1.03549,0.6895,0.56097,0.62311,0.27834,2.00133,2.04763,0.96259,0.000489042,0.000489042,0.000489042
9,774.013,1.98904,2.17566,1.00286,0.72012,0.58791,0.65502,0.31396,1.9444,1.91929,0.95577,0.000429048,0.000429048,0.000429048
10,903.994,1.99212,2.10291,1.00124,0.75112,0.60952,0.67533,0.32782,1.92814,1.85226,0.95548,0.000369054,0.000369054,0.000369054
11,1022.6,1.91647,1.93459,0.99532,0.72986,0.66877,0.71086,0.3329,1.90725,1.71053,0.94612,0.00030906,0.00030906,0.00030906
12,1119.93,1.88798,1.84788,0.97369,0.7674,0.67856,0.73466,0.35347,1.85362,1.6417,0.93514,0.000249066,0.000249066,0.000249066
13,1277.4,1.86994,1.77275,0.97398,0.77867,0.66784,0.74111,0.35295,1.88234,1.6714,0.93789,0.000189072,0.000189072,0.000189072
14,1437.1,1.85036,1.72182,0.98579,0.80155,0.66469,0.75331,0.36743,1.87166,1.61544,0.93396,0.000129078,0.000129078,0.000129078
15,1565.94,1.82554,1.71272,0.96882,0.80197,0.69632,0.76387,0.37468,1.84004,1.55598,0.93096,6.9084e-05,6.9084e-05,6.9084e-05
